tag,nvidia_gpu_1,M
Activation,0.5402022726411815,64
Decay,0.15137829769810196,64
STP,0.2167659875121899,64
Total Weight,0.2955396481338539,64
Activation,0.43074310931842774,128
Decay,0.09166425290459301,128
STP,0.18623985612066463,128
Total Weight,0.19207542949152412,128
Activation,0.2990435275787604,256
Decay,0.08994189062650548,256
STP,0.13009865704952972,256
Total Weight,0.08820477562403539,256
Activation,0.19473661803931464,512
Decay,0.05395046479679877,512
STP,0.09367511261370964,512
Total Weight,0.08102489404700464,512
Activation,0.16516504009632627,1024
Decay,0.05765887648885837,1024
STP,0.11208724917378277,1024
Total Weight,0.25419937435071915,1024
Activation,0.08917106830631383,2048
Decay,0.20763006508059334,2048
STP,0.2631669517068076,2048
Total Weight,0.27239256640314125,2048
Activation,0.1563879795212415,4096
Decay,0.25504680429730797,4096
STP,0.2780663903686218,4096
Total Weight,0.2890170836253674,4096
Activation,0.16458611888810992,8192
Decay,0.28796325477742357,8192
STP,0.28454368586972123,8192
Total Weight,0.29506096930708736,8192
Activation,0.16623791890742723,16384
Decay,0.30439055329043185,16384
STP,0.29278467354743043,16384
Total Weight,0.30183764845423866,16384
Activation,0.17038996613700874,32768
Decay,0.3198354020642,32768
STP,0.2976601727277739,32768
Total Weight,0.30348739609326003,32768
